X Dis,Y Dis,X Vel,Y Vel
-177.0013878,389.9851203,6.704212094,-4.252127455
-172.7492604,383.2809082,6.704212094,-4.252127455
-168.4971329,376.5766961,6.704212094,-4.252127455
-164.2450055,369.8724841,6.704212094,-4.252127455
-159.992878,363.168272,6.704212094,-4.252127455
-155.7407505,356.4640599,6.704212094,-4.252127455
-151.4886231,349.7598478,6.704212094,-4.252127455
-147.2364956,343.0556357,6.704212094,-4.252127455
-142.9843682,336.3514236,6.704212094,-4.252127455
-138.7322407,329.6472115,6.704212094,-4.252127455
-134.4801133,322.9429994,6.704212094,-4.252127455
-130.2279858,316.2387873,6.704212094,-4.252127455
-125.9758584,309.5345752,6.704212094,-4.252127455
-121.7237309,302.8303631,6.704212094,-4.252127455
-117.4716035,296.126151,6.704212094,-4.252127455
-113.219476,289.4219389,6.704212094,-4.252127455
-108.9673485,282.7177268,6.704212094,-4.252127455
-104.7152211,276.0135147,6.704212094,-4.252127455
-100.4630936,269.3093026,6.704212094,-4.252127455
-96.21096618,262.6050905,6.704212094,-4.252127455
-91.95883872,255.9008785,6.704212094,-4.252127455
-87.70671127,249.1966664,6.704212094,-4.252127455
